$Revision: 1.38 $

10000000,バーベナ学園女子帽子
10000001,Rバーベナ学園女子帽子
10000002,Rバーベナ学園女子帽子
10000010,秋色キャスケット(ピンク)
10000011,秋色キャスケット(グレー)
10000012,秋色キャスケット(ベージュ)
10000013,秋色キャスケット(紺)
10000020,迷彩キャップ(カーキー)
10000021,迷彩キャップ(サンド)
10000022,迷彩キャップ(モノクロ)
10000030,ステッチニット帽(白)
10000031,ステッチニット帽(黒)
10000032,ステッチニット帽(ネイビー)
10000033,ステッチニット帽(緑)
10000034,ステッチニット帽(ベージュ)
10000040,見習い魔女のとんがり帽子♀
10000050,根性のドカヘル♂
10000060,野球帽(黒)
10000061,野球帽(青)
10000062,野球帽(黄)
10000063,野球帽(赤)
10000064,野球帽(緑)
10000070,魔女の帽子(黒)
10000071,魔女の帽子(オレンジ)
10000072,魔女の帽子(黄)
10000080,駅員帽子
10000090,メリーメリー帽(赤白)
10000091,メリーメリー帽(白白)
10000100,ポンポンニット帽(緑)
10000101,ポンポンニット帽(赤)
10000102,ポンポンニット帽(白)
10000110,お嬢様のベレー帽(黒)・未公開?
10000111,お嬢様のベレー帽(ワイン)
10000120,マッドモンスターキャップ(黒)♀
10000121,マッドモンスターキャップ(白)♀
10000130,渚とお揃いの白い帽子♀
10000140,不明
10000150,かなでとお揃いの帽子♀
10000160,美空学園帽子♀
10000170,不明
10000180,不明

10100000,風見学園本校・女子ワンピース♀
10100001,R風見学園本校・女子ワンピース♀
10100002,R風見学園本校・女子ワンピース♀
10100010,光坂高校三年・女子制服♀
10100011,光坂高校一年・女子制服♀
10100012,光坂高校二年・女子制服♀
10100013,R光坂高校三年・女子制服♀
10100014,R光坂高校一年・女子制服♀
10100015,R光坂高校二年・女子制服♀
10100020,バーベナ学園・女子制服♀
10100021,Rバーベナ学園・女子制服♀
10100022,Rバーベナ学園・女子制服♀
10100030,無地のカーディガン(灰)
10100031,無地のカーディガン(赤)
10100032,無地のカーディガン(水)
10100033,無地のカーディガン(黄)
10100034,無地のカーディガン(黒)
10100035,無地のカーディガン(紺)
10100036,無地のカーディガン(白)
10100050,レースキャミソール(黒)
10100051,レースキャミソール(茶)
10100052,レースキャミソール(水色)
10100053,レースキャミソール(黄)
10100054,レースキャミソール(白)
10100060,ai sp@ceＴシャツ(ピンク)
10100061,ai sp@ceＴシャツ(青)
10100062,ai sp@ceＴシャツ(黄)
10100063,ai sp@ceＴシャツ(赤)
10100064,ai sp@ceＴシャツ(緑)
10100065,ai sp@ceＴシャツ(白)
10100066,ai sp@ceＴシャツ(黒)
10100070,エアリーチューブ(ピンク)
10100071,エアリーチューブ(赤)
10100072,エアリーチューブ(水色)
10100073,エアリーチューブ(黄)
10100080,巫女装束(赤)♀
10100081,巫女装束(パープル)♀
10100082,巫女装束(ネイビー)♀
10100083,巫女装束(ピンク)♀
10100090,梅柄チャイナドレス(青)
10100091,梅柄チャイナドレス(赤)
10100092,梅柄チャイナドレス(白)
10100093,桜のチャイナドレス♀
10100100,ナース服(ピンク)・NPC専用
10100101,ナース服(白)・未公開
10100102,ナース服(黒)・未公開
10100110,大和撫子(黒)♀
10100111,大和撫子(赤)♀
10100112,大和撫子(ブルー)♀
10100113,大和撫子(黄)♀
10100120,ヴィクトリアンメイド(黒)
10100121,ヴィクトリアンメイド(真紅)
10100122,ヴィクトリアンメイド(ブルー)
10100123,ヴィクトリアンメイド(黄)
10100130,風見学園付属二年・女子制服♀,赤
10100131,風見学園付属一年・女子制服♀,黄
10100132,風見学園付属三年・女子制服♀,青
10100133,R風見学園付属三年・女子制服♀,青
10100134,R風見学園付属三年・女子制服♀,青
10100135,R風見学園付属二年・女子制服♀,赤
10100136,R風見学園付属一年・女子制服♀,黄
10100137,R風見学園付属二年・女子制服♀,赤
10100138,R風見学園付属一年・女子制服♀,黄
10100140,(男性用アイテム)
10100141,(男性用アイテム)
10100142,(男性用アイテム)
10100143,(男性用アイテム)
10100144,(男性用アイテム)
10100160,(男性用アイテム)
10100161,(男性用アイテム)
10100162,(男性用アイテム)
10100170,(男性用アイテム)
10100171,(男性用アイテム)
10100172,(男性用アイテム)
10100173,(男性用アイテム)
10100180,(男性用アイテム)
10100190,(男性用アイテム)
10100191,(男性用アイテム)
10100192,(男性用アイテム)
10100200,ファーダウンベスト♀(白)
10100201,ファーダウンベスト♀(水色)
10100202,ファーダウンベスト♀(カーキ)
10100203,ファーダウンベスト♀(黒)
10100210,(男性用アイテム)
10100211,(男性用アイテム)
10100212,(男性用アイテム)
10100220,(男性用アイテム)
10100221,(男性用アイテム)
10100222,(男性用アイテム)
10100223,(男性用アイテム)
10100224,(男性用アイテム)
10100225,(男性用アイテム)
10100226,(男性用アイテム)
10100250,(男性用アイテム)
10100251,(男性用アイテム)
10100252,(男性用アイテム)
10100260,風見学園本校・女子ジャケット♀
10100261,R風見学園本校・女子ジャケット♀
10100262,R風見学園本校・女子ジャケット♀
10100270,(男性用アイテム)
10100280,(男性用アイテム)
10100281,(男性用アイテム)
10100282,(男性用アイテム)
10100300,(男性用アイテム)
10100310,黒コート♂
10100320,女性用シャツ紫色,未公開?
10100340,外神田ショップエプロン
10100341,調理部のエプロン(ひよこ)
10100342,調理部のエプロン(おはな)
10100370,科学部の白衣(ホワイト)♀
10100380,教師のスーツ(紫)
10100381,教師のスーツ(ピンク)
10100382,教師のスーツ(黒)
10100390,フォーマルブラウス(白)♀
10100391,フォーマルブラウス(ピンク)♀
10100392,フォーマルブラウス(グレー)♀
10100393,フォーマルブラウス(ベージュ)♀
10100400,チノツナギ(カーキ)♂
10100410,ピュアニット(黄)♀
10100411,ピュアニット(白)♀
10100412,ピュアニット(青)♀
10100420,バニーガール(黒),未公開
10100421,バニーガール(白) 表示不可?
10100422,バニーガール(黄) 表示不可?
10100423,バニーガール(ピンク) 表示不可?
10100424,バニーガール(赤) 表示不可?
10100425,バニーガール(青) 表示不可?
10100430,エプロン(青) 表示不可?
10100440,(男性用アイテム)
10100450,タートルセーター♂(黒)
10100451,タートルセーター♂(グレー)
10100452,タートルセーター♂(白)
10100460,パンクスカルTシャツ♂(黒)
10100461,パンクスカルTシャツ♂(白)
10100470,ななかとお揃いのセーター♀
10100480,船乗りのダッフルコート♀(青緑)
10100481,船乗りのダッフルコート♀(モカ)
10100482,船乗りのダッフルコート♀(白)
10100483,船乗りのダッフルコート♀(黒)
10100490,駅員制服
10100500,いたずら魔女ドレス(オレンジ)
10100501,いたずら魔女ドレス(赤)
10100503,いたずら魔女ドレス(黄)
10100510,エンタま君Tシャツ♂
10100520,エンタま君Tシャツ♀
10100530,タートルセーター♀(黒)
10100531,タートルセーター♀(ピンク)
10100532,タートルセーター♀(白)
10100520,エンタま君Tシャツ
10100540,パンクスカルTシャツ(白)
10100541,パンクスカルTシャツ(黒)
10100550,メリーメリードレス(赤白)♀
10100551,メリーメリードレス(白白)♀
10100570,ai sp@ceセット
10100580,木漏れ日のワンピース(赤)
10100581,木漏れ日のワンピース(紺)
10100582,木漏れ日のワンピース(茶)
10100590,コンプティークTシャツ♂
10100591,D.C.II P.C.記念Tシャツ♂
10100600,コンプティークTシャツ♀
10100601,D.C.II P.C.記念Tシャツ♀
10100610,振袖(緑)♀
10100611,振袖(赤)♀
10100620,ガーリーニットワンピ(白)♀
10100621,ガーリーニットワンピ(水色)♀
10100622,ガーリーニットワンピ(ピンク)♀
10100623,ガーリーニットワンピ(紺)♀
10100630,アーガイルセーター(紺)♀
10100631,アーガイルセーター(グレー)♀
10100640,ゴスロリワルツコート♀(ピンク)
10100641,ゴスロリワルツコート♀(黒)
10100650,ヴァイストップス♀
10100651,シュヴァルツトップス♀
10100660,パンクフリルシャツ(黒)♀
10100661,パンクフリルシャツ(白)♀
10100670,お嬢様のリボンブラウス(白)♀・未公開?
10100671,お嬢様のリボンブラウス(黒)♀
10100680,ジャージ・ボーイ♂(黒)
10100681,ジャージ・ボーイ♂(赤)
10100682,ジャージ・ボーイ♂(青)
10100683,ジャージ・ボーイ♂(黄)
10100684,ジャージ・ボーイ♂(白)
10100690,ジャージ・ガール♀(黒)
10100691,ジャージ・ガール♀(赤)
10100692,ジャージ・ガール♀(青)
10100693,ジャージ・ガール♀(黄)
10100694,ジャージ・ガール♀(白)
10100695,消滅 (ジャージ(緑))
10100700,ななかとお揃いのジャージ♀
10100710,喫茶フローラ制服♀
10100720,シアとお揃いのニット(ピンク)♀
10100721,シアとお揃いのニット(水色)♀
10100730,シアとお揃いのエプロン♀
10100740,美空学園二年女子制服♀
10100741,美空学園三年女子制服♀
10100750,バーベナ学園冬服♀
10100760,光坂高校xx年夏服♀
10100761,光坂高校xx年夏服♀
10100762,光坂高校xx年夏服♀
10100770,励学館学園二年女子制服♀
10100771,励学館学園一年女子制服♀
10100780,関羽とお揃い衣装♀
10100790,不明
10100800,不明
10100810,不明
10100820,不明
10100830,不明
10100840,不明
10100850,不明
10100860,不明
10100880,不明
10100881,不明
10100890,不明
10100891,不明
10100900,不明
10100920,くまのきぐるみボディ♀
10100921,白くまのきぐるみボディ♀
10100922,ぱんだのきぐるみボディ♀
10100930,不明
10100940,不明
10100980,不明
10100990,不明

10200000,光坂高校・女子スカート
10200001,R光坂高校・女子スカート
10200002,R光坂高校・女子スカート
10200010,バーベナ学園・女子スカート
10200011,Rバーベナ学園・女子スカート
10200012,Rバーベナ学園・女子スカート
