$Revision: 1.2 $

10001,タイトルコール１,ai sp@ce！
10002,タイトルコール２,ai spaceへようこそ
10003,出会い,あ…君は…？
10004,初めての挨拶,はじめまして
10005,ああ、この前の…,あぁ…この前の。
10006,再会,またあえたね
10007,ありがとう,ありがとう
10008,感謝,わぁ…うれしいなぁ
10009,感謝感謝,あ、ありがとう！
10010,Thanks,サンクス！
10011,なんですかぁ？,なんですかぁ？
10012,…っ！！,うっ…ぅぅ?…
10013,ふ?ん…？,ふぅ?ぅん？ふぅ↓?ぅ↑ん
10014,ひどいじゃないですか,ひどいじゃないですかぁ！
10015,凹み,あぅぅ?…
10016,くすん,くすん…消え入りそうな声で
10017,はぁ?あ,あ?ぁ…
10018,ひとりにしてください,ひとりにしてくださぁい…
10019,やったぁ,やったぁ！
10020,ガンバロウ,がんばろうね
10021,よーしっ！,よぉーっし
10022,Lucky,ラーッキーィ！
10023,ええっ！！,ええ?っ！？
10024,うそぉ…,うそぉ…
10025,本当（マジ）！？,マ・・・マジィ？
10026,ほぉえ?？,はぁ?…？納得するような声
10027,肯定（普通に）,うんっ
10028,肯定（たぶん…）,多分…？
10029,肯定（しぶしぶ…）,そう…だね？
10030,否定（違うと思う…）,違うと思う…
10031,否定（無理です）,無理ですっ
10032,否定（悪いよぉ…）,悪いよぉ…
10033,ほめる,やーるじゃん！キミぃ
10034,やめてください,やめてくださいっ
10035,あくび,ふぁっ…あぁ??…
10036,不思議（どうした？）,どうかしました？
10037,不思議（何か変？）,何か……、変…、ですかぁ？「変」以降は声が小さく
10038,空腹,おなかがすきましたぁ?…ゆっくりと
10039,何かを察知,はっ！…何かが…息を呑む声？
10040,危険（注意）,危ないですっ
10041,危険（ダメ！）,ダメぇ！
10042,危険（逃げて！）,逃げて！
10043,ダメージ（はう?）,はうっ…
10044,ダメージ（痛っ）,いたっ！
10045,じゃじゃーん,じゃじゃんっ短く
10046,正解,あたりですぅ！
10047,凄い、当たってます,すごーい、あたってますぅ
10048,違います,ちがいまーす明るく
10049,はぁぁぁぁぁぁ！！,は?ぁぁあああ！気合を溜めるように
10050,休んでも、いい？,（はぁぅ…）休んでも…いいかなぁ？吐息→つらそうに
10051,呼びかけ,おーいっ
10052,ん?と…,ん?…
10053,よろしくお願いします,よろしくお願いしますっ
10057,朝の挨拶,おはよう！
10058,昼の挨拶,こんにちわ
10059,夜の挨拶,こんばんはちょっと早口で
10060,帰りの挨拶,じゃあねぇ！
10061,ごめんなさい,あー…ごめんなさぁい
10062,あなたは？,
10063,あけましておめでとう,
10064,ハッピーバレンタイン,
10065,ホワイトデーの？,ホワイトデーのお返しですか?
10066,お花見♪,ほら、お花見にいくよ
10067,ゴールデンウィーク♪,
10068,紫陽花とでんでん虫,紫陽花とでんでん虫の時期ですね
10069,早く夏休みに?,早く夏休みにならないかなあ
10070,三日間の夏祭り？,三日間、お疲れ様でした
10071,まだまだ残暑が?,まだまだ残暑が厳しいですねえ
10072,トリックオアトリート,
10073,学園祭楽しみ♪,学園祭楽しみだなあ♪
10074,メリークリスマス,
10075,1時です,
10076,2時です,
10077,3時です,
10078,4時です,
10079,5時です,
10080,6時です,
10081,7時です,ななじです
10082,8時です,
10083,9時です,
10084,10時です,
10085,11時です,
10086,12時です,
10087,おやすみの挨拶,おやすみなさいです
10088,おいしそう?♪,うわあ、おしいそう
10089,うー、おいしくない,ううう、イマイチかも
10090,Welcome,アキハバラ島へようこそ
10091,おつかれさま♪,
10092,メール着信,メールが来てるよ
10093,定期メンテナンス告知,まもなく定期メンテナンスの時間です
10094,臨時メンテナンス告知,急ですが、これより臨時メンテナンスを行ないます
10095,ログアウト誘導,ログアウトしたほうが良さそうです
10096,NowLoading,
10097,ちょっとだけ待って,
10098,午後7時ごろ時報,
10099,午後10時ごろ時報,
10100,午前0時ごろ時報,
10101,午前2時ごろ時報,
10102,午前5時ごろ時報,
10103,きゃあっ！,
10104,おねがいしますっ,
10105,ぱちぱちぱちぱち?,
10106,じゃーんけーんぽんっ,
10107,あーいこーでしょ,
10108,勝利,
10109,敗北,
10110,祝う（おめでとう）,
10111,告白（あなたのこと…）,
10112,告白（好き♪）,
10113,告白（大好き♪）,
10114,恥ずかしい,
10115,誕生日（おめでとう）,
10116,嫌い（はっきり）,
10117,嫌い（本当は…）,



20001,タイトルコール１,ai sp@ce！
20002,タイトルコール２,ai spaceへようこそ
20003,出会い,あ…君は…？
20004,初めての挨拶,あ、はじめましてです
20005,ああ、この前の…,あれ…？この前の？
20006,再会,えへっ…またあえましたね
20007,ありがとう,わぁぁ…ありがとですぅ?
20008,感謝,あの…すっごく、うれしいです。
20009,感謝感謝,
20010,Thanks,
20011,なんですかぁ？,
20012,…っ！！,ほとんど無音w
20013,ふ?ん…？,
20014,ひどいじゃないですか,
20015,凹み,はぅ～～
20016,くすん,
20017,はぁ?あ,
20018,ひとりにしてください,
20019,やったぁ,やりました!
20020,ガンバロウ,がんばりましょうね
20021,よーしっ！,
20022,Lucky,
20023,ええっ！！,
20024,うそぉ…,
20025,本当（マジ）！？,ほんとうですか!
20026,ほぉえ?？,
20027,肯定（普通に）,
20028,肯定（たぶん…）,
20029,肯定（しぶしぶ…）,
20030,否定（違うと思う…）,
20031,否定（無理です）,
20032,否定（悪いよぉ…）,
20033,ほめる,
20034,やめてください,
20035,あくび,
20036,不思議（どうした？）,
20037,不思議（何か変？）,
20038,空腹,
20039,何かを察知,
20040,危険（注意）,
20041,危険（ダメ！）,
20042,危険（逃げて！）,
20043,ダメージ（はう?）,
20044,ダメージ（痛っ）,
20045,じゃじゃーん,
20046,正解,
20047,凄い、当たってます,
20048,違います,
20049,はぁぁぁぁぁぁ！！,
20050,休んでも、いい？,
20051,呼びかけ,
20052,ん?と…,
20053,よろしくお願いします,
20058,朝の挨拶,
20059,昼の挨拶,
20060,夜の挨拶,
20061,帰りの挨拶,
20062,ごめんなさい,
20063,あなたは？,
20064,あけましておめでとう,
20065,ハッピーバレンタイン,
20066,ホワイトデーの？,
20067,お花見♪,
20068,ゴールデンウィーク♪,
20069,紫陽花とでんでん虫,
20070,早く夏休みに?,
20071,三日間の夏祭り？,
20072,まだまだ残暑が?,
20073,トリックオアトリート,
20074,学園祭楽しみ♪,
20075,メリークリスマス,
20076,1時です,
20077,2時です,
20078,3時です,
20079,4時です,
20080,5時です,
20081,6時です,
20082,7時です,
20083,8時です,
20084,9時です,
20085,10時です,
20086,11時です,
20087,12時です,
20088,おやすみの挨拶,
20089,おいしそう?♪,
20090,うー、おいしくない,うう、ちょっぴしイマイチかもです
20091,Welcome,
20092,おつかれさま♪,
20093,メール着信,
20094,定期メンテナンス告知,
20095,臨時メンテナンス告知,
20096,ログアウト誘導,
20097,NowLoading,
20098,ちょっとだけ待って,
20099,午後7時ごろ時報,
20100,午後10時ごろ時報,
20101,午前0時ごろ時報,
20102,午前2時ごろ時報,
20103,午前5時ごろ時報,
20104,きゃあっ！,
20105,おねがいしますっ,
20106,ぱちぱちぱちぱち?,
20107,じゃーんけーんぽんっ,
20108,あーいこーでしょ,
20109,勝利,
20110,敗北,
20111,祝う（おめでとう）,
20112,告白（あなたのこと…）,
20113,告白（好き♪）,
20114,告白（大好き♪）,
20115,恥ずかしい,
20116,誕生日（おめでとう）,
20117,嫌い（はっきり）,
20118,嫌い（本当は…）,


30001,タイトルコール１,ai sp@ce！
30002,タイトルコール２,ai spaceへようこそ
30003,出会い,あ…きーみーはー？
30004,初めての挨拶,はじめまして
,ああ、この前の…,【無し】
30006,再会,またあえたね
30007,ありがとう,あ、ありがとう
30008,感謝,あ…うれしいなぁ
30009,感謝感謝,
30010,Thanks,
30011,なんですかぁ？,
30012,…っ！！,
30013,ふ?ん…？,
,ひどいじゃないですか,【無し】
30015,凹み,
30016,くすん,
30017,はぁ?あ,
30018,ひとりにしてください,
30019,やったぁ,
30020,ガンバロウ,
30021,よーしっ！,
30022,Lucky,
30023,ええっ！！,
30024,うそぉ…,
30025,本当（マジ）！？,え、マジ?
30026,ほぉえ?？,
30027,肯定（普通に）,
,肯定（たぶん…）,【無い】
,肯定（しぶしぶ…）,【無い】
30030,否定（違うと思う…）,
30031,否定（無理です）,
30032,否定（悪いよぉ…）,
,ほめる,【無い】
,やめてください,【無い】
30035,あくび,
30036,不思議（どうした？）,
30037,不思議（何か変？）,
30038,空腹,
30039,何かを察知,
,危険（注意）,【無い】
,危険（ダメ！）,【無い】
,危険（逃げて！）,【無い】
30043,ダメージ（はう?）,
30044,ダメージ（痛っ）,
30045,じゃじゃーん,
30046,正解,
