$Revision: 1.2 $

CAM_SET,preset\ダ・カーポ島\風見学園エリア\桜並木,
CAM_SET,preset\ダ・カーポ島\風見学園エリア\街並み１,
CAM_SET,preset\ダ・カーポ島\風見学園エリア\街並み２,
CAM_SET,preset\ダ・カーポ島\風見学園エリア\校門１,
CAM_SET,preset\ダ・カーポ島\風見学園エリア\校門２,
CAM_SET,preset\ダ・カーポ島\風見学園エリア\校舎前,
CAM_SET,preset\ダ・カーポ島\風見学園エリア\校庭,
CAM_SET,preset\ダ・カーポ島\風見学園エリア\校庭２,
CAM_SET,preset\ダ・カーポ島\風見学園エリア\焼却炉,
CAM_SET,preset\ダ・カーポ島\風見学園エリア\バスケコート,
CAM_SET,preset\ダ・カーポ島\風見学園エリア\体育館前,
CAM_SET,preset\ダ・カーポ島\風見学園エリア\裏門,
CAM_SET,preset\ダ・カーポ島\風見学園エリア\通学路１,
CAM_SET,preset\ダ・カーポ島\風見学園エリア\通学路２,
CAM_SET,preset\ダ・カーポ島\風見学園エリア\通学路３,
CAM_SET,preset\ダ・カーポ島\風見学園エリア\住宅街,
CAM_SET,preset\ダ・カーポ島\風見学園エリア\中庭,
CAM_SET,preset\ダ・カーポ島\風見学園エリア\バス停,

CAM_SET,preset\クラナド島\光坂高校エリア\高校前の坂,
CAM_SET,preset\クラナド島\光坂高校エリア\校門１,
CAM_SET,preset\クラナド島\光坂高校エリア\校門２,
CAM_SET,preset\クラナド島\光坂高校エリア\玄関前,
CAM_SET,preset\クラナド島\光坂高校エリア\校庭,
CAM_SET,preset\クラナド島\光坂高校エリア\バスケコート１,
CAM_SET,preset\クラナド島\光坂高校エリア\バスケコート２,
CAM_SET,preset\クラナド島\光坂高校エリア\テニスコート,
CAM_SET,preset\クラナド島\光坂高校エリア\中庭,
CAM_SET,preset\クラナド島\光坂高校エリア\体育館前,
CAM_SET,preset\クラナド島\光坂高校エリア\体育館裏物置,
CAM_SET,preset\クラナド島\光坂高校エリア\駐輪場,
CAM_SET,preset\クラナド島\光坂高校エリア\校舎前(中庭),
CAM_SET,preset\クラナド島\光坂高校エリア\水飲み場,
CAM_SET,preset\クラナド島\光坂高校エリア\校庭(野球場),
CAM_SET,preset\クラナド島\光坂高校エリア\校舎裏ポンプ,
CAM_SET,preset\クラナド島\光坂高校エリア\中庭(掲示板),
CAM_SET,preset\クラナド島\光坂高校エリア\校舎前(掲示板),
CAM_SET,preset\クラナド島\光坂高校エリア\裏門,
CAM_SET,preset\クラナド島\光坂高校エリア\高校裏住宅街,
CAM_SET,preset\クラナド島\光坂高校エリア\公園,
CAM_SET,preset\クラナド島\光坂高校エリア\坂,
CAM_SET,preset\クラナド島\光坂高校エリア\道,
CAM_SET,preset\クラナド島\光坂高校エリア\林,
CAM_SET,preset\クラナド島\光坂高校エリア\住宅街,

CAM_SET,preset\Shuffle島\バーベナ学園エリア\校門,
CAM_SET,preset\Shuffle島\バーベナ学園エリア\校庭,
CAM_SET,preset\Shuffle島\バーベナ学園エリア\噴水前,
CAM_SET,preset\Shuffle島\バーベナ学園エリア\プール,
CAM_SET,preset\Shuffle島\バーベナ学園エリア\テニスコート,
CAM_SET,preset\Shuffle島\バーベナ学園エリア\体育館裏物置,
CAM_SET,preset\Shuffle島\バーベナ学園エリア\体育館裏水飲み場,
CAM_SET,preset\Shuffle島\バーベナ学園エリア\駐輪場,
CAM_SET,preset\Shuffle島\バーベナ学園エリア\バス停,
CAM_SET,preset\Shuffle島\バーベナ学園エリア\体育館前,
CAM_SET,preset\Shuffle島\バーベナ学園エリア\校舎中庭,
CAM_SET,preset\Shuffle島\バーベナ学園エリア\校舎裏,
CAM_SET,preset\Shuffle島\バーベナ学園エリア\校舎玄関前,
CAM_SET,preset\Shuffle島\バーベナ学園エリア\ゴミ捨て場１,
CAM_SET,preset\Shuffle島\バーベナ学園エリア\ゴミ捨て場２,
CAM_SET,preset\Shuffle島\バーベナ学園エリア\通学路１,
CAM_SET,preset\Shuffle島\バーベナ学園エリア\通学路２,
CAM_SET,preset\Shuffle島\バーベナ学園エリア\住宅街１,
CAM_SET,preset\Shuffle島\バーベナ学園エリア\住宅街２,

